molecule_chembl_id,pchembl_value
CHEMBL4087570,7.96
CHEMBL5169349,6.62
CHEMBL5561729,7.04
CHEMBL4074601,7.92
CHEMBL5857086,5.52
CHEMBL5284701,7.72
CHEMBL5273261,7.08
CHEMBL5831214,8.4
CHEMBL5878820,6.82
CHEMBL128468,9.55
CHEMBL4084996,6.01
CHEMBL5981415,8.3
CHEMBL475351,5.29
CHEMBL4793639,6.21
CHEMBL5867445,6.52
CHEMBL591288,6.25
CHEMBL246073,6.72
CHEMBL3818015,8.55
CHEMBL1643976,5.74
CHEMBL402294,8.3
CHEMBL185686,6.05
CHEMBL5872256,6.63
CHEMBL5963322,8.7
CHEMBL1821887,4.7
CHEMBL5089073,7.075
CHEMBL296377,7.4
CHEMBL166255,8.77
CHEMBL4085868,5.23
CHEMBL3941823,7.745
CHEMBL4794073,8.89
CHEMBL5082074,6.8467
CHEMBL5861126,6.29
CHEMBL4560187,8.51
CHEMBL5203195,8.02
CHEMBL4782900,7.8
CHEMBL5796454,7.14
CHEMBL589801,5.07
CHEMBL4091569,8.02
CHEMBL5786207,8.1
CHEMBL6036892,6.52
CHEMBL5846455,6.76
CHEMBL605957,5.24
CHEMBL3360603,9.51
CHEMBL5962943,9.865
CHEMBL3676344,7.75
CHEMBL3263366,5.88
CHEMBL5563672,8.65
CHEMBL115745,7.25
CHEMBL1945648,5.58
CHEMBL5209075,6.38
CHEMBL3221541,5.1
CHEMBL5766704,8.52
CHEMBL5199520,6.7
CHEMBL3903641,7.48
CHEMBL2426279,6.9617
CHEMBL6011434,8.52
CHEMBL2325099,6.92
CHEMBL5854207,6.32
CHEMBL5266649,8.78
CHEMBL3954684,7.7
CHEMBL3604911,5.765
CHEMBL348554,4.76
CHEMBL2347963,8.4
CHEMBL123189,8.1
CHEMBL5840248,9.5333
CHEMBL250315,5.25
CHEMBL138125,6.62
CHEMBL4474073,9.12
CHEMBL306732,7.03
CHEMBL242349,5.11
CHEMBL472545,7.52
CHEMBL5777803,8.4
CHEMBL4752843,6.6
CHEMBL3962365,7.43
CHEMBL5747733,6.56
CHEMBL1095445,4.57
CHEMBL244948,5.12
CHEMBL4783641,8.6833
CHEMBL3764589,7.86
CHEMBL473437,8.4
CHEMBL4780058,6.96
CHEMBL5840400,7.5825
CHEMBL6009993,7.715
CHEMBL2031306,8.84
CHEMBL3237949,5.99
CHEMBL519147,5.5
CHEMBL2283256,4.86
CHEMBL6011609,5.21
CHEMBL188522,6.825
CHEMBL170438,4.88
CHEMBL3897363,8.1
CHEMBL5974959,8.3
CHEMBL435831,4.42
CHEMBL3622639,8.92
CHEMBL592247,5.23
CHEMBL3913728,6.05
CHEMBL3948084,7.77
CHEMBL5182567,9.04
CHEMBL3908272,7.07
CHEMBL296168,8.605
CHEMBL5573028,6.89
CHEMBL5920148,8.3
CHEMBL3946396,8.15
CHEMBL4288262,6.565
CHEMBL3752825,7.02
CHEMBL1241490,6.02
CHEMBL5850600,7.82
CHEMBL3981551,7.78
CHEMBL4079393,8.6
CHEMBL5996357,8.22
CHEMBL5182465,6.505
CHEMBL5281270,7.66
CHEMBL59812,4.7
CHEMBL6008669,6.5817
CHEMBL1172602,4.59
CHEMBL5968640,10.41
CHEMBL6058583,6.32
CHEMBL126192,8.7
CHEMBL5990188,8.31
CHEMBL6004044,5.19
CHEMBL1821889,4.61
CHEMBL2048912,8.59
CHEMBL2070190,5.79
CHEMBL3671545,6.49
CHEMBL5874033,7.14
CHEMBL3948546,4.64
CHEMBL3671518,7.5
CHEMBL5187762,9.49
CHEMBL1828867,5.29
CHEMBL3360613,7.92
CHEMBL343352,7.57
CHEMBL234772,6.66
CHEMBL4225781,7.0125
CHEMBL3742146,5.37
CHEMBL3233779,7.955
CHEMBL3986363,7.725
CHEMBL5290094,6.99
CHEMBL1091613,6.62
CHEMBL4758107,6.25
CHEMBL1914661,7.02
CHEMBL31815,8.855
CHEMBL437879,8.99
CHEMBL2029695,4.08
CHEMBL1828862,6.41
CHEMBL2337364,4.41
CHEMBL4873202,6.16
CHEMBL5740396,8.52
CHEMBL5960969,4.7633
CHEMBL4078431,9.52
CHEMBL343722,6.92
CHEMBL3759155,5.34
CHEMBL5771859,8.52
CHEMBL2325106,6.8
CHEMBL5903840,5.72
CHEMBL5996683,8.7
CHEMBL5982032,8.05
CHEMBL5896195,8.52
CHEMBL1830231,8.1
CHEMBL1242661,4.68
CHEMBL4102455,7.8
CHEMBL4061382,7.58
CHEMBL3355890,8.93
CHEMBL3671552,7.54
CHEMBL3671553,7.01
CHEMBL3671551,6.81
CHEMBL5854828,6.76
CHEMBL246493,6.25
CHEMBL4471845,6.875
CHEMBL5903077,7.67
CHEMBL5753909,7.72
CHEMBL4288482,7.01
CHEMBL5590689,8.5675
CHEMBL1641997,4.34
CHEMBL2018777,5.04
CHEMBL4082840,6.915
CHEMBL56502,8.22
CHEMBL128000,4.95
CHEMBL376967,6.92
CHEMBL3622642,6.87
CHEMBL5836438,5.62
CHEMBL6040634,6.76
CHEMBL5764214,5.56
CHEMBL5852886,8.15
CHEMBL5831010,5.26
CHEMBL3676369,7.8
CHEMBL3416630,6.22
CHEMBL246491,6.34
CHEMBL265367,7.77
CHEMBL5880020,7.43
CHEMBL5270506,6.73
CHEMBL2179128,6.2233
CHEMBL5984973,6.76
CHEMBL155389,4.0
CHEMBL3787386,8.15
CHEMBL5077378,8.89
CHEMBL5930652,9.0
CHEMBL5887634,8.14
CHEMBL5571836,6.58
CHEMBL3425669,5.43
CHEMBL5816684,6.46
CHEMBL5995066,8.7
CHEMBL4650319,8.3
CHEMBL5188948,7.885
CHEMBL6060281,8.1
CHEMBL3639703,7.17
CHEMBL1929303,5.29
CHEMBL1944923,4.54
CHEMBL5789149,6.6729
CHEMBL3814878,6.7
CHEMBL5283543,7.12
CHEMBL5950819,6.76
CHEMBL5796215,6.26
CHEMBL1828868,5.23
CHEMBL1173262,5.01
CHEMBL19978,4.02
CHEMBL4173696,7.155
CHEMBL3965391,8.705
CHEMBL6064016,6.4933
CHEMBL120185,5.06
CHEMBL5993587,8.11
CHEMBL3786647,6.15
CHEMBL4278226,7.66
CHEMBL5864041,5.26
CHEMBL4215397,7.41
CHEMBL5276251,7.05
CHEMBL4873984,6.98
CHEMBL4853833,7.805
CHEMBL5851856,7.12
CHEMBL4102886,8.31
CHEMBL40734,8.81
CHEMBL592481,5.84
CHEMBL140561,6.97
CHEMBL3085376,8.52
CHEMBL4204596,5.3167
CHEMBL4572315,7.96
CHEMBL6011269,7.94
CHEMBL4576032,8.43
CHEMBL39320,8.66
CHEMBL5169943,6.78
CHEMBL1093234,7.26
CHEMBL185637,6.96
CHEMBL5523557,5.58
CHEMBL5933810,8.3
CHEMBL554,7.3874
CHEMBL1958034,5.64
CHEMBL4103912,9.23
CHEMBL5286532,5.53
CHEMBL5289250,5.75
CHEMBL542893,5.82
CHEMBL6001620,8.205
CHEMBL3699618,7.725
CHEMBL1947127,6.47
CHEMBL4084214,5.47
CHEMBL4214588,7.34
CHEMBL5555311,6.66
CHEMBL1094492,5.86
CHEMBL212965,7.92
CHEMBL3671495,8.3
CHEMBL2442333,5.93
CHEMBL520515,4.12
CHEMBL2348418,7.33
CHEMBL387265,8.7
CHEMBL442754,7.21
CHEMBL4216025,4.8
CHEMBL5815780,5.98
CHEMBL5595805,8.24
CHEMBL5619771,6.8
CHEMBL5272853,7.35
CHEMBL4751362,7.27
CHEMBL5775870,6.93
CHEMBL272935,7.85
CHEMBL4128726,7.17
CHEMBL3787112,5.64
CHEMBL5744155,7.12
